Unique_Sample_ID,Time_place_of_CBC_analysis,Genotype,Princeton/NIH_Tag,CageID,Parents,Age,Location,Notes,Infection_Status,Block,WBC_count,Neu_count,Lym_count,Mon_count,Eos_count,Bas_count,Neu_percent,Lym_percent,Mon_percent,Eos_percent,Bas_percent,RBC_count,HGB (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW-CV (%),MPV (fL)
7055_5 weeks _129_Lab,5 weeks,129,445,21,G430,10,Lab,,N,1,2.87,0.52,2.19,0.08,0.06,0.02,18.2,76.1,2.8,2.2,0.7,10.43,16.8,48.1,46.1,16.1,34.9,14.1,4
7054_NIH_129_Lab,NIH,129,446,21,G430,3,SF,,N,1,6.23,1.68,4.35,0.05,0.12,0.03,26.9,69.7,0.9,1.9,0.6,8.29,15.1,41.2,49.7,18.2,36.6,19.6,5
7054_2 weeks_129_SF,2 weeks,129,446,21,G430,7,SF,,N,1,5.27,1.8,2.67,0.14,0.63,0.03,34.1,50.6,2.8,12,0.5,10.23,17.2,48.6,47.5,16.8,35.5,15.9,5.4
7054_5 weeks _129_SF,5 weeks,129,446,21,G430,10,SF,,N,1,4.78,1.61,1.8,0.65,0.69,0.03,33.6,37.6,13.7,14.5,0.6,9.88,17.1,48,48.6,17.3,35.6,18.3,4.9
7053_NIH_129_Lab,NIH,129,447,21,G430,3,Lab,,N,1,5.63,1.92,3.57,0.05,0.07,0.02,34.1,63.4,0.8,1.3,0.4,9.06,16.5,45.1,49.7,18.2,36.5,19.4,5.1
7053_2 weeks_129_Lab,2 weeks,129,447,21,G430,8,Lab,,N,1,7.85,1.06,6.16,0.12,0.46,0.05,13.4,78.5,1.6,5.9,0.6,10.59,17.5,49.4,46.7,16.5,35.3,14.9,5.1
7053_5 weeks _129_Lab,5 weeks,129,447,21,G430,10,Lab,,Tm,1,3.75,0.64,2.67,0.1,0.33,0.01,17,71,2.7,8.9,0.4,10.3,16.8,48.2,46.8,16.3,34.9,14.4,4.2
673_NIH_129_Lab,NIH,129,448,21,G455,4,SF,,N,1,6.48,0.74,5.47,0.1,0.12,0.05,11.4,84.4,1.6,1.8,0.8,9.55,17.1,47.7,50,17.9,35.8,15.1,4.3
673_2 weeks_129_SF,2 weeks,129,448,21,G455,8,SF,,N,1,2.97,0.93,1.53,0.12,0.37,0.02,31.2,51.3,4,12.6,0.9,10.05,17.5,48,47.8,17.4,36.4,16,5.5
673_5 weeks _129_SF,5 weeks,129,448,21,G455,11,SF,,Tm,1,2.03,0.47,1.31,0.14,0.1,0.01,22.8,64.6,6.8,5.3,0.5,10.91,18.1,51.1,46.9,16.6,35.4,15.3,4.4
7056_NIH_129_Lab,NIH,129,476,21,G430,3,SF,,N,1,5.81,1.8,3.84,0.09,0.06,0.02,31,66.1,1.5,1,0.4,8.75,15.8,44,50.3,18,35.9,21.2,4.9
7056_2 weeks_129_SF,2 weeks,129,476,21,G430,7,SF,,N,1,2.64,1.16,1.34,0.08,0.04,0.02,43.9,50.6,2.9,1.6,1,10.01,16.6,47.7,47.7,16.6,34.8,16.5,5.3
7056_5 weeks _129_SF,5 weeks,129,476,21,G430,10,SF,,Tm,1,1.64,0.6,0.94,0.06,0.02,0.02,36.7,56.9,3.8,1.4,1.2,10.84,18.1,51.2,47.2,16.7,35.4,16.5,4.6
728_NIH_PWK_Lab,NIH,PWK,450,22,G652,4,SF,,N,1,6.28,1,4.71,0.24,0.26,0.07,15.9,75,3.9,4.1,1.1,8.59,14.7,41.7,48.6,17.1,35.3,21.2,5.7
728_2 weeks_PWK_SF,2 weeks,PWK,450,22,G652,9,SF,,N,1,3.82,1.72,1.75,0.12,0.17,0.06,44.9,45.7,3.3,4.6,1.5,10.77,17.2,49.9,46.3,16,34.5,13.6,14.1
728_5 weeks _PWK_SF,5 weeks,PWK,450,22,G652,12,SF,,N,1,2.95,1.51,1.15,0.19,0.07,0.03,51.1,38.9,6.6,2.4,1,9.84,16.5,45.6,46.3,16.8,36.3,13.9,5.6
729_NIH_PWK_Lab,NIH,PWK,451,22,G652,4,Lab,,N,1,5.29,0.82,4.06,0.26,0.08,0.07,15.5,76.6,5.1,1.5,1.3,9.06,15.3,43.4,47.9,16.9,35.3,20.6,5.6
729_2 weeks_PWK_Lab,2 weeks,PWK,451,22,G652,9,Lab,,N,1,7.33,2.3,4.68,0.15,0.11,0.09,31.3,63.9,2,1.5,1.3,10.36,16.7,46.3,44.7,16.1,36.1,13,5.9
729_5 weeks _PWK_Lab,5 weeks,PWK,451,22,G652,12,Lab,,Tm,1,3.38,1.69,1.52,0.09,0.04,0.04,49.8,44.9,2.6,1.4,1.3,10.26,15.3,43.1,42,15,35.6,19,5.6
727_NIH_PWK_Lab,NIH,PWK,452,22,G652,4,SF,,N,1,5.25,0.95,3.84,0.15,0.24,0.07,18.1,73.1,2.8,4.6,1.4,7.81,13.4,38.3,49.1,17.2,35,19.3,5.9
727_2 weeks_PWK_SF,2 weeks,PWK,452,22,G652,9,SF,,N,1,2.68,1.37,1.1,0.04,0.12,0.05,51.1,41,1.7,4.2,2,11.02,17.5,50.7,46,15.8,34.5,13.6,14.3
727_5 weeks _PWK_SF,5 weeks,PWK,452,22,G652,12,SF,,Tm,1,3.56,2.1,1.07,0.18,0.15,0.06,58.8,30.2,5.1,4.2,1.7,10.21,16.7,47,46,16.4,35.5,14.6,5.4
730_NIH_PWK_Lab,NIH,PWK,453,22,G652,4,SF,,N,1,3.71,0.57,2.87,0.19,0.06,0.02,15.2,77.3,5,1.8,0.7,8.55,14.7,41.6,48.6,17.2,35.3,21.9,5.6
730_2 weeks_PWK_SF,2 weeks,PWK,453,22,G652,9,SF,,N,1,4.83,2.06,2.41,0.14,0.2,0.02,42.7,49.9,2.9,4,0.5,10.92,17.6,51.1,46.8,16.1,34.3,13.7,5.8
730_5 weeks _PWK_SF,5 weeks,PWK,453,22,G652,12,SF,,Tm,1,2.4,1.39,0.75,0.15,0.08,0.03,57.9,31.2,6.1,3.6,1.2,9.83,16.3,45.2,46,16.6,36,13.2,5.7
726_NIH_PWK_Lab,NIH,PWK,454,22,G652,4,Lab,,N,1,4.68,0.71,3.64,0.2,0.09,0.04,15.1,77.6,4.2,2.1,1,8.89,14.9,42.3,47.6,16.7,35.2,20.6,5.4
726_2 weeks_PWK_Lab,2 weeks,PWK,454,22,G652,9,Lab,,N,1,5.71,1.15,4.22,0.11,0.16,0.07,20.1,73.8,2.1,2.7,1.3,10.42,16.9,47,45.1,16.2,35.9,13.2,14.5
726_5 weeks _PWK_Lab,5 weeks,PWK,454,22,G652,12,Lab,,N,1,2.56,0.8,1.46,0.15,0.12,0.03,31,57.1,5.7,5,1.2,9.6,15.8,43.8,45.7,16.4,36,12.9,4.8
731_NIH_PWK_Lab,NIH,PWK,455,23,G550,5,Lab,,N,1,2.31,0.92,1.29,0.05,0.04,0.01,39.5,55.7,2.1,2,0.7,9.36,15.7,44.1,47.1,16.8,35.6,21,5.4
731_2 weeks_PWK_Lab,2 weeks,PWK,455,23,G550,9,Lab,,N,1,4.71,0.9,3.55,0.13,0.1,0.03,19,75.3,2.8,2.2,0.7,10.51,17.1,48,45.7,16.3,35.7,13.2,13.5
731_5 weeks _PWK_Lab,5 weeks,PWK,455,23,G550,12,Lab,,Tm,1,2.11,1.1,0.91,0.01,0.06,0.03,52.1,42.9,0.7,2.5,1.8,9.33,15.2,42.3,45.3,16.3,35.9,13.9,5.7
733_NIH_PWK_Lab,NIH,PWK,456,23,G550,5,Lab,,N,1,3.85,1.22,2.37,0.1,0.13,0.03,31.5,61.5,2.7,3.3,1,8.32,14.1,40,48,16.9,35.2,20.4,5.7
733_2 weeks_PWK_Lab,2 weeks,PWK,456,23,G550,9,Lab,,N,1,7.38,2.27,4.52,0.25,0.19,0.15,30.8,61.2,3.5,2.5,2,9.77,16.2,43.7,44.7,16.6,37.1,14.2,12.9
733_5 weeks _PWK_Lab,5 weeks,PWK,456,23,G550,12,Lab,,N,1,3.34,1.21,1.55,0.36,0.18,0.04,36.2,46.3,10.8,5.4,1.3,7.46,11.9,33.6,45,16,35.5,13.6,12.9
735_NIH_PWK_Lab,NIH,PWK,457,23,G651,5,SF,,N,1,5.05,1.87,2.83,0.18,0.14,0.03,37,55.9,3.6,2.8,0.7,9.49,15.8,44.5,46.9,16.6,35.4,20.2,6.2
735_2 weeks_PWK_SF,2 weeks,PWK,457,23,G651,9,SF,,N,1,1.99,0.86,0.94,0.04,0.13,0.02,43.2,46.9,2.2,6.5,1.2,10.22,16.2,47.5,46.4,15.9,34.2,13.5,14.2
732_NIH_PWK_Lab,NIH,PWK,458,23,G550,5,SF,,N,1,2.84,1.04,1.62,0.12,0.05,0.01,36.6,56.8,4.2,2,0.4,9.53,15.9,44.9,47.1,16.7,35.4,19.4,5.9
734_NIH_PWK_Lab,NIH,PWK,459,23,G550,5,SF,,N,1,3.37,1.18,1.96,0.12,0.09,0.02,35.1,58.1,3.5,2.7,0.6,8.83,14.9,41.8,47.4,16.9,35.7,20.6,6
734_2 weeks_PWK_Lab,2 weeks,PWK,459,23,G550,9,SF,,N,1,3.27,2.02,1.11,0.06,0.05,0.03,61.8,33.9,1.6,1.6,1.1,10.89,17,49.9,45.8,15.6,34,12.9,14.3
734_5 weeks _PWK_SF,5 weeks,PWK,459,23,G550,12,SF,,N,1,3.17,1.11,1.3,0.57,0.17,0.02,34.8,41,17.8,5.6,0.8,10.34,17.1,46.6,45.1,16.5,36.6,14.3,5.5
672_NIH_PWK_Lab,NIH,PWK,460,24,G647,5,Lab,,N,1,2.86,0.56,2.01,0.15,0.12,0.02,19.5,70.3,5.2,4.2,0.8,6.21,11.4,30,48.3,18.3,37.9,24.2,5.7
672_2 weeks_PWK_Lab,2 weeks,PWK,460,24,G647,9,Lab,,N,1,3.41,0.83,2.41,0.04,0.09,0.04,24.3,70.6,1.4,2.5,1.2,9.9,16.5,46.1,46.6,16.7,35.7,13.6,14.2
672_5 weeks _PWK_Lab,5 weeks,PWK,460,24,G647,12,Lab,,Tm,1,2.4,0.61,1.27,0.29,0.22,0.01,25.5,52.6,12.1,9.2,0.6,9.15,15.1,41.9,45.8,16.5,36,12.7,4.9
669_NIH_PWK_Lab,NIH,PWK,461,24,G644,5,Lab,,N,1,1.41,0.26,1.04,0.06,0.05,0,18.2,73.5,4.2,4,0.1,3.38,6.2,16.4,48.6,18.2,37.5,19.8,5.9
669_2 weeks_PWK_Lab,2 weeks,PWK,461,24,G644,9,Lab,,N,1,4.09,0.89,2.98,0.08,0.08,0.06,21.8,72.7,2,2,1.5,10.44,17.1,47.8,45.8,16.4,35.7,13.8,13.9
669_5 weeks _PWK_Lab,5 weeks,PWK,461,24,G644,12,Lab,,N,1,2.55,1.02,1.46,0.02,0.03,0.02,39.9,57,0.8,1.5,0.8,9.87,16.4,45.2,45.8,16.6,36.4,12.7,5.5
670_NIH_PWK_Lab,NIH,PWK,462,24,G644,5,SF,,N,1,3.68,0.76,2.7,0.1,0.1,0.02,20.4,73.4,2.7,2.7,0.8,8.5,14.2,40.6,47.8,16.7,35,22.1,5.8
736_NIH_PWK_Lab,NIH,PWK,463,24,G651,5,SF,,N,1,5.1,0.89,3.82,0.25,0.11,0.03,17.3,74.8,5,2.2,0.7,8.06,13.7,39.2,48.6,17,34.9,21.9,5.7
736_2 weeks_PWK_SF,2 weeks,PWK,463,24,G651,9,SF,,N,1,3.84,2.21,1.37,0.1,0.14,0.02,57.6,35.6,2.6,3.5,0.7,10.91,17.5,51,46.7,16.1,34.4,13.7,6.1
671_NIH_PWK_Lab,NIH,PWK,464,24,G644,5,SF,,N,1,4.16,0.69,3.29,0.08,0.07,0.03,16.6,78.9,2.1,1.7,0.7,7.81,13.2,37.5,48,16.9,35.2,22.2,5.9
671_2 weeks_PWK_SF,2 weeks,PWK,464,24,G644,9,SF,,N,1,3.7,1.55,1.83,0.11,0.15,0.06,41.6,49.3,3.2,4.2,1.7,10.04,16.4,46.9,46.8,16.3,34.9,14.9,5.9
663_NIH_PWK_Lab,NIH,PWK,465,25,G646,5,SF,,N,1,5.11,0.89,3.94,0.15,0.05,0.08,17.3,77.1,2.9,1.1,1.6,10.52,16.7,47.9,45.5,15.9,34.8,21.6,5.5
663_2 weeks_PWK_SF,2 weeks,PWK,465,25,G646,9,SF,,N,1,5.44,3.66,1.46,0.15,0.12,0.05,67.2,26.7,2.9,2.3,0.9,11,17.4,50,45.4,15.9,34.9,13,5.8
663_5 weeks _PWK_SF,5 weeks,PWK,465,25,G646,12,SF,,N,1,2.84,1.56,1.13,0.06,0.07,0.02,54.9,39.5,2.3,2.4,0.9,9.89,16.6,46,46.5,16.8,36.1,13.8,5.6
660_NIH_PWK_Lab,NIH,PWK,466,25,G645,5,SF,,N,1,4.66,0.92,3.35,0.24,0.12,0.03,19.7,71.8,5,2.7,0.8,8.3,14.4,39.8,47.9,17.4,36.3,20.1,5.9
660_2 weeks_PWK_SF,2 weeks,PWK,466,25,G645,9,SF,,N,1,4.39,2.35,1.6,0.14,0.24,0.06,53.5,36.5,3.2,5.3,1.5,10.66,17,49.2,46.2,16,34.6,13.8,5.7
660_5 weeks _PWK_SF,5 weeks,PWK,466,25,G645,12,SF,,Tm,1,3.73,1.7,1.48,0.35,0.18,0.02,45.5,39.7,9.2,5,0.6,10.09,16.9,46.7,46.3,16.8,36.2,13.5,5.8
662_NIH_PWK_Lab,NIH,PWK,467,25,G645,5,Lab,,N,1,5.17,0.83,4.07,0.16,0.09,0.02,15.9,78.7,3,1.9,0.5,7.94,13,37.3,47,16.3,34.7,23,6
662_2 weeks_PWK_Lab,2 weeks,PWK,467,25,G645,9,Lab,,N,1,6.97,1.57,4.85,0.21,0.29,0.05,22.5,69.6,3.1,4,0.8,9.3,15.2,42,45.2,16.3,36.1,14.3,13.2
662_5 weeks _PWK_Lab,5 weeks,PWK,467,25,G645,12,Lab,,Tm,1,5.52,3.74,1.57,0.09,0.07,0.05,67.6,28.5,1.7,1.3,0.9,9.23,14.9,41.8,45.3,16.2,35.8,12.8,5.5
661_NIH_PWK_Lab,NIH,PWK,468,25,G645,5,Lab,,N,1,4.99,0.89,3.86,0.14,0.05,0.05,17.8,77.3,2.9,1,1,8.9,15,43.2,48.5,16.8,34.7,22.6,5.9
661_2 weeks_PWK_Lab,2 weeks,PWK,468,25,G645,9,Lab,,N,1,4.5,0.75,3.41,0.07,0.21,0.06,16.6,75.7,1.6,4.7,1.4,10.11,16.8,46.3,45.8,16.6,36.2,13.6,13.7
661_5 weeks _PWK_Lab,5 weeks,PWK,468,25,G645,12,Lab,,N,1,1.98,0.46,1.2,0.24,0.06,0.02,23.2,60.6,11.7,3.4,1.1,9.96,16.4,45.4,45.6,16.5,36.2,12.4,5.3
659_NIH_PWK_Lab,NIH,PWK,469,25,G645,5,SF,,N,1,4.94,3.35,1.23,0.13,0.17,0.06,67.7,24.9,2.8,3.3,1.3,9.47,15.9,44,46.4,16.8,36.2,14.4,5.6
659_2 weeks_PWK_SF,2 weeks,PWK,469,25,G645,9,SF,,N,1,3.64,2.19,1.27,0.08,0.03,0.07,60.1,34.9,2.1,1,1.9,10.69,16.6,48.7,45.6,15.6,34.2,15,12.4
659_5 weeks _PWK_SF,5 weeks,PWK,469,25,G645,12,SF,,Tm,1,4.47,0.71,3.39,0.16,0.18,0.03,15.8,75.9,3.6,3.9,0.8,7.78,13.2,37.5,48.2,16.9,35.1,21.8,5.8
667_NIH_PWK_Lab,NIH,PWK,470,26,G647,5,Lab,,N,1,4.73,0.75,3.73,0.15,0.06,0.04,15.9,78.8,3,1.4,0.9,8.71,14.2,40.2,46.2,16.3,35.3,21,5.5
667_2 weeks_PWK_Lab,2 weeks,PWK,470,26,G647,9,Lab,,N,1,3.71,0.55,3.04,0.04,0.05,0.03,14.8,81.8,1.1,1.4,0.9,9.86,16.1,44.6,45.2,16.4,36.2,13.5,14.3
667_5 weeks _PWK_Lab,5 weeks,PWK,470,26,G647,12,Lab,,Tm,1,2.19,1.09,1.04,0.03,0.02,0.01,49.4,47.2,1.6,1.3,0.5,10.3,16.2,45.5,44.2,15.7,35.6,13.4,5.4
666_NIH_PWK_Lab,NIH,PWK,471,26,G649,5,SF,,N,1,4.21,0.62,3.37,0.12,0.08,0.02,14.6,79.9,3,2,0.5,9.04,15,42.6,47.2,16.6,35.2,20.4,5.6
666_2 weeks_PWK_SF,2 weeks,PWK,471,26,G649,9,SF,,N,1,5.44,2.5,2.3,0.14,0.45,0.05,45.9,42.2,2.7,8.2,1,9.63,15.1,44.8,46.5,15.6,33.6,13.7,5.7
666_5 weeks _PWK_SF,5 weeks,PWK,471,26,G649,12,SF,,N,1,1.1,0.28,0.41,0.09,0.32,0,25.7,36.7,8.4,28.9,0.3,5.4,8.8,25.3,46.8,16.4,35,13.1,5.4
0664_U_NIH_PWK_Lab,NIH,PWK,0664_U,26,G647,5,,,N,1,5.78,0.91,4.42,0.18,0.21,0.06,15.8,76.4,3.1,3.6,1.1,9.29,15.2,42.7,46,16.4,35.6,20.5,5.5
0664_U_2 weeks_PWK_Lab,2 weeks,PWK,0664_U,26,G647,9,,,N,1,4.22,0.6,3.36,0.06,0.17,0.03,14.2,79.6,1.4,3.9,0.9,9.87,16.5,45,45.6,16.7,36.7,13.4,13.6
0664_U_5 weeks _PWK_Lab,5 weeks,PWK,0664_U,26,G647,12,,,N,1,4.34,2.21,1.85,0.12,0.1,0.06,50.9,42.6,2.7,2.3,1.5,10.18,16.5,46.2,45.4,16.2,35.6,14.2,5.6
0668_U_NIH_PWK_Lab,NIH,PWK,0668_U,26,G647,5,,,N,1,1.37,0.24,1.06,0.05,0.02,0,17.2,77.1,3.7,1.8,0.2,5.4,8.9,26.5,49,16.5,33.6,21.8,5.6
0668_U_2 weeks_PWK_SF,2 weeks,PWK,0668_U,26,G647,9,,,N,1,2.95,1.49,1.26,0.03,0.14,0.03,50.4,42.6,1.3,4.6,1.1,11.27,17.8,51.7,45.9,15.8,34.5,13.7,5.6
665_NIH_PWK_Lab,NIH,PWK,474,26,G649,5,SF,,N,1,6.67,1.23,4.97,0.29,0.12,0.06,18.5,74.5,4.2,1.8,1,8.57,14.1,40.1,46.8,16.5,35.2,20.8,5.7
665_2 weeks_PWK_SF,2 weeks,PWK,474,26,G649,9,SF,,N,1,1.82,0.8,0.9,0.03,0.08,0.01,43.5,49.2,2.1,4.5,0.7,10.9,17.6,50.2,46.1,16.1,35,13.7,13.9
665_5 weeks _PWK_SF,5 weeks,PWK,474,26,G649,12,SF,,Tm,1,1.62,0.88,0.57,0.09,0.06,0.02,54.1,35.1,5.2,4.2,1.4,10.43,17.5,48.3,46.3,16.7,36.1,13.5,5.5
271_NIH_Lab_N,NIH,C57,271,28,G565,7,Lab,,N,2,8.25,3.17,4.8,0.11,0.13,0.04,38.5,58.2,1.3,1.5,0.5,9.88,16.3,47.4,48,16.5,34.3,15.7,4.5
271_2 weeks_Lab_N,2 weeks,C57,271,28,G565,11,Lab,,N,2,11.57,3.65,7.56,0.18,0.1,0.08,31.6,65.4,1.4,0.9,0.7,10.08,15.9,42.3,42,15.7,37.5,12.7,5.4
271_5 weeks_Lab_N,5 weeks,C57,271,28,G565,14,Lab,,N,2,2.85,0.2,2.48,0.04,0.12,0.01,7,86.9,1.5,4.3,0.3,9.96,15.6,42.6,42.8,15.7,36.7,13.1,5
275_NIH_Lab_N,NIH,C57,275,28,G570,7,SF,,N,2,4.37,0.28,3.82,0.1,0.16,0.01,6.4,87.4,2.1,3.7,0.4,8.8,15,44,50,17,34,16.6,5.6
275_2 weeks_SF_N,2 weeks,C57,275,28,G570,11,SF,,N,2,2.44,1.22,1.19,0.01,0.01,0.01,49.9,48.5,0.4,0.5,0.7,10.36,16.2,44.8,43.2,15.6,36.1,14,6.2
275_5 weeks_SF_N,5 weeks,C57,275,28,G570,14,SF,,N,2,3.48,0.35,2.97,0.06,0.07,0.03,9.9,85.2,1.8,2,1.1,10.25,16.5,46,44.8,16.1,35.8,14.3,5.9
274_NIH_Lab_N,NIH,C57,274,28,G570,7,SF,,N,2,6.5,1.54,4.57,0.14,0.23,0.02,23.6,70.2,2.1,3.7,0.4,9.37,15.8,44.9,47.9,16.9,35.3,16.4,4.7
274_5 weeks_SF_N,5 weeks,C57,274,28,G570,14,SF,,N,2,3.68,0.86,2.49,0.02,0.29,0.02,23.4,67.7,0.7,7.7,0.5,10.91,17.3,48.9,44.8,15.9,35.4,14.5,5.3
273_NIH_Lab_Tm,NIH,C57,273,28,G570,7,SF,,Tm,2,7.41,1.58,5.4,0.16,0.22,0.05,21.4,72.8,2.2,2.9,0.7,8.79,15.3,43,48.9,17.5,35.7,15.6,4.8
273_2 weeks_SF_Tm,2 weeks,C57,273,28,G570,11,SF,,Tm,2,4.28,1.64,2.34,0.06,0.2,0.04,38.2,54.6,1.5,4.7,1,10.06,16.2,45.4,45.2,16.1,35.7,15.6,5.5
273_5 weeks_SF_Tm,5 weeks,C57,273,28,G570,14,SF,,Tm,2,1.08,0.32,0.65,0.04,0.05,0.02,29.2,59.6,3.7,4.8,2.7,9.4,15.3,43.2,46,16.3,35.4,15.5,10.9
272_NIH_Lab_Tm,NIH,C57,272,28,G570,7,Lab,Spit out some eggs,Tm,2,2.88,0.15,2.59,0.04,0.09,0.01,5,89.8,1.7,3.1,0.4,10.07,16.5,49,48.6,16.4,33.6,15.1,5.4
272_2 weeks_Lab_Tm,2 weeks,C57,272,28,G570,11,Lab,Spit out some eggs,Tm,2,10.06,1.89,7.79,0.16,0.14,0.08,18.8,77.4,1.6,1.4,0.8,9.99,15.3,41.8,41.8,15.3,36.6,13,5.2
272_5 weeks_Lab_Tm,5 weeks,C57,272,28,G570,14,Lab,Spit out some eggs,Tm,2,1.68,0.24,1.37,0.01,0.04,0.02,14,81.5,0.7,2.1,1.7,9.97,15.1,41.7,41.8,15.1,36.2,12.9,5.1
288_NIH_Lab_Tm,NIH,C57,288,25,G576,6,SF,Mites,Tm,2,10.38,2.17,7.81,0.16,0.19,0.05,20.9,75.2,1.6,1.8,0.5,7.93,13.5,38.5,48.5,17,35,22.1,5.6
288_2 weeks_SF_Tm,2 weeks,C57,288,25,G576,10,SF,Mites,Tm,2,2.18,0.65,1.3,0.14,0.07,0.02,29.6,59.7,6,3.5,1.2,11.17,17.2,47.9,42.8,15.4,36,13.4,5.3
288_5 weeks_SF_Tm,5 weeks,C57,288,25,G576,13,SF,Mites,Tm,2,2.96,1.18,1.4,0.05,0.29,0.04,39.8,47.2,1.8,9.8,1.4,10.53,16.8,47.9,45.5,16,35.2,14.9,5.4
286_NIH_Lab_Tm,NIH,C57,286,25,G576,6,Lab,Mites,Tm,2,8.46,0.97,6.8,0.18,0.48,0.03,11.5,80.4,2.1,5.6,0.4,7.15,12.4,35.3,49.4,17.4,35.2,19.2,4.7
286_2 weeks_Lab_Tm,2 weeks,C57,286,25,G576,11,Lab,Mites,Tm,2,9.66,3.3,5.9,0.15,0.16,0.15,34.2,61,1.6,1.7,1.5,10.39,16.5,43.8,42.1,15.9,37.8,12.1,5.8
286_5 weeks_Lab_Tm,5 weeks,C57,286,25,G576,13,Lab,Mites,Tm,2,2.45,0.61,1.21,0.04,0.56,0.03,24.9,49.3,1.9,22.7,1.2,9.51,14.4,40.2,42.2,15.1,35.8,13.3,5.1
287/269_NIH_Lab_N,NIH,C57,287,25,G576,6,SF,Mites,N,2,11.72,2.25,8.47,0.26,0.68,0.06,19.2,72.2,2.3,5.8,0.5,8.34,14.8,41.6,49.9,17.7,35.5,17.7,4.8
287/269_2 weeks_SF_N,2 weeks,C57,287,25,G576,10,SF,Mites,N,2,5.32,2.99,2.17,0.05,0.09,0.02,56.2,40.7,1,1.7,0.4,10.73,16.8,46.8,43.6,15.6,35.9,14.6,5.6
287/269_5 weeks_SF_N,5 weeks,C57,287,25,G576,14,SF,Mites,N,2,4.8,2.41,2.25,0.04,0.07,0.03,50.1,46.8,0.9,1.4,0.8,10.73,17.5,48.9,45.6,16.3,35.7,14.2,5.4
290_NIH_Lab_N,NIH,C57,290,25,G576,6,Lab,Mites,N,2,9.76,2.2,7.07,0.17,0.28,0.04,22.6,72.4,1.8,2.7,0.5,9.55,16.5,45.9,48.1,17.3,35.9,14.4,4.7
290_2 weeks_Lab_N,2 weeks,C57,290,25,G576,11,Lab,Mites,N,2,9.12,0.95,7.73,0.2,0.19,0.05,10.4,84.8,2.2,2.1,0.5,10.56,16.5,44.1,41.8,15.6,37.3,12.5,5.1
290_5 weeks_Lab_N,5 weeks,C57,290,25,G576,13,Lab,Mites,N,2,3.08,1.33,1.67,0.02,0.05,0.01,43.1,54.3,0.8,1.5,0.3,10.11,15.3,42.3,41.8,15.2,36.3,13.1,5
289_NIH_Lab_Tm,NIH,C57,289,25,G565,6,SF,Mites,Tm,2,8.52,1.88,6.13,0.19,0.28,0.04,22.1,71.9,2.2,3.4,0.4,9.71,16.5,46.5,47.9,17,35.5,14.1,4.6
289_2 weeks_SF_Tm,2 weeks,C57,289,25,G565,10,SF,Mites,Tm,2,4.54,2.17,2.16,0.08,0.1,0.03,47.8,47.5,1.7,2.2,0.8,10.4,16.5,44.1,42.4,15.9,37.5,14.5,5.7
289_5 weeks_SF_Tm,5 weeks,C57,289,25,G565,14,SF,Mites,Tm,2,5.71,2.32,3.01,0.05,0.26,0.07,40.5,52.7,0.9,4.6,1.3,10.95,17.5,49.4,45.1,16,35.4,14.8,5.6
279_NIH_Lab_Tm,NIH,C57,279,23,G569,6,Lab,,Tm,2,11.49,1.88,8.95,0.22,0.37,0.07,16.3,77.9,1.9,3.3,0.6,8.5,14.9,41.7,49,17.6,35.9,18.8,5
279_2 weeks_Lab_Tm,2 weeks,C57,279,23,G569,10,Lab,,Tm,2,14.4,2.81,10.64,0.51,0.22,0.22,19.5,73.9,3.6,1.5,1.5,9.73,15.1,41.7,42.8,15.6,36.3,13.2,11
279_5 weeks_Lab_Tm,5 weeks,C57,279,23,G569,13,Lab,,Tm,2,7.12,3.39,3.51,0.06,0.1,0.06,47.5,49.3,0.9,1.5,0.8,9.98,15.7,42.9,43,15.7,36.5,14.1,5.3
277/270_NIH_Lab_Tm,NIH,C57,277,23,G569,6,SF,,Tm,2,9.07,1.29,7.03,0.12,0.57,0.06,14.2,77.5,1.4,6.2,0.7,8.61,14.9,41.6,48.4,17.3,35.7,18.6,4.7
277/270_2 weeks_SF_Tm,2 weeks,C57,277,23,G569,10,SF,,Tm,2,3.26,1.66,1.49,0.05,0.03,0.03,50.7,45.6,1.6,1.1,1,10.92,17.1,46.3,42.4,15.7,36.9,13,5.6
277/270_5 weeks_SF_Tm,5 weeks,C57,277,23,G569,13,SF,,Tm,2,2.48,1.29,1.1,0.02,0.02,0.05,51.7,44.2,1.1,1,2,10.7,16.5,47.5,44.4,15.4,34.7,14.2,5.8
276_NIH_Lab_N,NIH,C57,276,23,G569,6,Lab,,N,2,12.63,1.99,9.59,0.35,0.63,0.07,15.8,75.9,2.8,5,0.5,8.62,15.1,41.9,48.7,17.5,36,17.5,5
276_2 weeks_Lab_N,2 weeks,C57,276,23,G569,10,Lab,,N,2,15.05,4.69,9.49,0.39,0.26,0.22,31.2,63,2.6,1.7,1.5,9.73,15.2,41.4,42.6,15.7,36.8,12.4,5.7
276_5 weeks_Lab_N,5 weeks,C57,276,23,G569,13,Lab,,N,2,2.15,0.23,1.81,0.02,0.08,0.01,10.5,83.9,1.1,4,0.5,10.23,15.4,43.1,42.1,15,35.7,13,5.5
280_NIH_Lab_N,NIH,C57,280,23,G569,6,SF,,N,2,11.41,0.88,9.51,0.29,0.68,0.05,7.7,83.4,2.6,5.9,0.4,8.43,14.8,40.9,48.5,17.5,36.1,19,5.5
